ID,案件名,職種,技術スキル,金額,勤務地,案件概要,開発環境,募集条件
T260123-1658,大規模インフラ開発支援,インフラエンジニア,AWS,90万～100万円,大崎 / 常駐（Plus10）,エンドユーザー側の立場で、技術方針の策定支援を行います。サブシステム間のデータ連携方針の検討、マイクロサービスインフラ構成の開発方針策定を中心に、要件定義工程の中でインフラの処理方式検討、技術的懸念ポイントの早期潰し込みを図ります。,,インフラ上流経験、インフラ領域の幅広い知見・経験、AWSサービスに詳しい方、データフロー図作成、アプリ側の方針検討・方式設計ができる方、顧客折衝経験、30代前半～50代前半
T260123-1659,公営競技システム向け開発支援,システムエンジニア(SE),"Java,SQL,AWS,UML",53万円,浜松町駅 / 常駐（Plus10）,公営競技システム向け開発支援。詳細設計～リリースまでを担当。,AWS,Java/SQLを用いて詳細設計～テストまで一人称で行える方。AWS環境下での開発業務経験orクラウドシフトの経験者（どちらかあれば〇）。UMLの読み書きが問題ない方（現場はMermaid）。コミュニケーションが取れる方。外国籍不可。参画時にPowerPoint入り、Windows11ProのノートPCのご用意をお願いしております。
T260123-1662,大規模インフラ開発支援,インフラエンジニア,AWS,90万円～100万円,フルリモート,エンドユーザー側の立場で、技術方針の策定支援を行います。サブシステム間のデータ連携方針の検討、マイクロサービスインフラ構成の開発方針策定を中心に、要件定義工程の中でインフラの処理方式検討、技術的懸念ポイントの早期潰し込みを図ります,,"・インフラ上流経験
・インフラ領域の幅広い知見、経験
・AWSサービスに詳しい方
・データフロー図作成
・アプリ側の方針検討、方式設計ができる方"
T260123-1664,Server構築支援,インフラエンジニア,"Linux, WindowsServer, JP1",65万円,門前仲町 / 常駐（Plus10）,"JP/1製品の基盤構築支援(ジョブ管理/ログ管理)
構築（製品インストール・設定・起動停止テスト)
仮想基盤移行",,"WnidowsまたはLinuxのServer構築経験, 外国籍不可, 55歳まで"
T260123-1666,PKG問い合わせ・課題推進（行政）,QAエンジニア,SQL,～100万円,九段下駅 / 常駐（Plus10）,"問い合わせ対応／課題管理
日々発生する問い合わせに対する回答。課題だった場合は重複確認のうえ起票。
課題の対応状況の把握・最新化。滞留している課題の推進。
故障票、QAの対応・管理
故障票の起票対応、状況追記などを行う。
バグの場合、QAポータルにQAを起票しクローズするまで更問対応、調査などを業務SEと連携して行う。
QA対応状況を把握し、最新ステータスの管理を行う。
業務SE支援
業務SEのコントロールのもと仕様確認・再現テスト・データ調査・パラメータ調査を実施。
↑を通じて業務・システム知識を蓄え、業務SEから課題関連のタスクを巻き取っていく。",,"【必須スキル】
・課題調査、不具合調査の実務経験
・データベースの操作経験（SQLでのデータ抽出レベル）

【尚可スキル】
・行政に関する業務知識（介護保険／国民健康保険／住記・選挙／固定資産税／個人住民税／法人住民性／軽自動車税／収滞納）※これらの知識があるとほぼ確定ぐらいに確度アップ
・自治体向けシステム導入経験
・システム保守経験
・複数ステークホルダーとの調整・折衝経験"
T260120-1853,AIプロダクト開発におけるフロントエンド開発案件,フロントエンドエンジニア,"TypeScript, Next.js, Node.js, Python",80万円～90万円,フルリモート,"企業の業務課題解決を目的とした生成AIサービスにおいてフロントエンドの開発に携わっていただきます。
・TypeScript / Next.jsを使用した機能開発
・コンポーネント設計、アーキテクチャの最適化
・デザインチームとの協働によるUI/UX実装の最適化",Docker,"・TypeScript / Next.jsを活用したフロントエンド開発経験
・基本設計の経験
・Tailwind CSS、Node.jsを利用した実務経験
・Dockerでの環境構築経験
・Pythonを用いた開発経験"
T260123-1667,資料作成案件,,,34万円〜40万円,東新宿 / 常駐（Plus10）,GoogleEarthからキャプチャーくり抜き基地局の置局員の資料を作成、置局員のサポート資料を作成、事務業務,,PC基本操作、勤怠問題ない方、一般的なコミュニケーションが可能な方。同じ作業の繰り返しになるルーチン作業が苦にならない方。基地局業務にトータル1年以上あり。1年未満は未経験扱い。物件探索やオーナー交渉業務経験者なら半年以上でも可。
T260123-1670,保険会社向けシステム(セキュリティ製品、グループウェア製品)の導入・構築～保守・運用でローダーとしての業務推進を行える方,クラウドエンジニア,Microsoft Azure,スキル見合い（MAX60万）,与野駅 / リモート可（週1〜）,保険会社向けシステム(セキュリティ製品、グループウェア製品)の導入・構築～保守・運用でローダーとしての業務推進を行える方。,,"Azure、M365の有識者
タスクを推進できるリーダーシップ、コミュニケーション力
(チームメンバーだけではなく、ベンダーコントロールや
他チーム調整等のコミュニケーションは高頻度で発生)
※全ての必須スキルに合致しなくても以下のご経験がある方は是非ご提案ください
保守以上の経験
推進力ある人
Azureでの構築
Microsoft365の保守以上の経験"
T260123-1674,金融機関向けシステム開発のPMO案件,PMO,Microsoft Azure,スキル見合い(〜80万円程度),品川 / リモート可（週1〜）,"金融機関向けシステム開発 PMO要員
金融機関で稼働するプロジェクトのPMOとして
各案件（２～３案件）の進捗・課題・会議体、品質評価時の
データ集計のとりまとめ等を実施することが主な役割となります。
（各案件ごとにPMが存在し、各PMの補佐をお願い致します）",,"【必須】
・PMOとして開発PJへの参画ご経験がある方
(PMO補佐や事務的なPMOのご経験ですとNGとなります。)
・品質管理 や品質評価 のご経験がある方
・データ整理と資料作成が可能な方
【尚可】
・Azure DevOpsの利用ご経験者さま"
T260123-1674,小売業向けPKGシステム導入・追加開発支援（要件定義～／上級PG）,システムエンジニア(SE),"Java,Struts,SQL,Oracle",スキル見合い,堂島 / 常駐（Plus10）,"小売業向けPKGシステム導入・追加開発支援（要件定義～／上級PG）
・流通小売業に強いITベンダーが手掛ける
　大手スーパー向け基幹システム（PKG）の
　新規導入および追加機能開発支援
・基本はパッケージ機能を利用
・要件に応じて追加設計・開発を実施
■対象ポジション
① 要件定義～対応可能なSE／リーダークラス（4～5名）
② 上級PGクラス（開発経験5年程度目安）（1～2名）
■担当フェーズ
・要件定義～運用保守
※スキル・ポジションに応じて担当範囲を調整",開発言語：Java フレームワーク：Strutsベース DB：SQLServer または Oracle,"■必須スキル
・Javaによる業務系システム開発経験5年以上
・基本設計～開発の実務経験3年以上
・コミュニケーション良好な方
■歓迎スキル
・要件定義経験
・開発リーダー／マネジメント経験
・若手育成経験
・小売／流通業界での業務経験
・業界経験10年以上"
T260123-1675,某ガス会社向けシステム開発,システムエンジニア(SE),"C言語, C#.NET, C++",~52万円,茗荷谷 / 常駐（Plus10）,某ガス会社向けに自社ソフトを導入、そのソフトウェアとの連携箇所の機能追加・改修・保守,,C言語/C#.NET/C++/CADいずれかの経験3年以上、基本設計経験、コミュニケーション能力、勤怠問題ない方
T260123-1677,満期管理システムPMO,PMO,,～65万円,桜台駅 / 常駐（Plus10）,満期管理システムのシステム統合対応におけるPMO業務。会議体推進、ファシリテーション、議事録作成、次工程準備・検討、プロジェクト内ルールの計画・立案を担当。,,開発PMO経験2～3年程度（開発経験がある方）、要件定義～テストまで各工程の成果物イメージを把握できる方、会議ファシリテーションの豊富な経験、大規模プロジェクトでのPMO経験
T260123-1681,機器調達管理システム開発,プロジェクトマネージャー,"Java, Linux, Oracle, JP1",スキル見合い,本町 / リモート可（週1〜）,機器調達管理システムの開発・保守案件。要件定義から工数算定、各種計画書作成、タスク・スケジュール管理、メンバーへの作業指示などプロジェクトマネジメント業務を中心に担当。設計・製造のレビュー作業や本番リリース立ち会いも実施。11月から日本語を話せるオフショア（中国大連）メンバーとの連携業務も発生予定。工程としては、要件定義、工数算定、各種計画書作成（システムテスト計画書、リリース計画書等）、タスク・スケジュール管理、メンバー管理、レビュー、本番リリース立ち会い。,Java、Pro*C、Linux、Oracle、JP1、HULFT、MQ、Subversion,必須スキル：Java開発経験、Linux環境での開発経験、Oracle使用経験、タスク管理能力、コミュニケーション能力、問題解決力。尚可スキル：要件定義経験、プロジェクトマネジメント経験、JP1、HULFT、MQ、Subversionの使用経験、オフショア開発の経験、WBS作成経験、Redmineの使用経験、Pro*Cの経験。その他：個人事業主不可、外国籍不可、貴社社員様まで、要件定義から上流工程中心の業務、11月から日本語を話せるオフショアメンバー（中国大連）との連携業務あり、過去の類似案件資料を活用した計画書作成、長期案件。
T260123-1683,インターネットサービス事業者向け開発案件,バックエンドエンジニア,"Python,Linux",～65万円（スキル見合い）,市ヶ谷 / 常駐（Plus10）,"工程：基本設計～を想定
人数：2-3名
精算：140-180h
面談：1回（web）
備考：9:00-18:00
オファーから参画まで2週間かかります。
参画時所属開示あり、時間単価は月額÷160h/1h当たりで精算
今後増員あり
商流制限：貴社1社下まで（所属会社名開示あり）",Linux,"Pythonでの開発経験（3年以上）
Linux環境での開発経験
APIの設計とバッチ処理ができる方
日本語コミュニケーション、ドキュメント作成可能な方（外国籍可）
年齢：30代まで"
T260123-1688,次期EV車向けソフトウェア要求仕様書作成,システムエンジニア(SE),,スキル見合い,群馬（太田駅） / 常駐（Plus10）,次期EV車のメーター（車載メーターディスプレイ系）に関するソフトウェア要求仕様書の作成。顧客と並走しながら要求分析／要件定義を実施し、制御仕様書としてドキュメント化する。インプット要求の読み解き → 要件化 → 図解（シーケンス図／ブロック図等） → セルフレビュー → 顧客調整まで一連で対応する上流・SEポジション。,,"・要求分析、要件定義、仕様書作成の経験
・車載系ソフトウェア開発経験
※車載経験がなくても、下記「望ましい事項」を1つ以上持っていれば可
・論理的思考に基づく説明・文章作成力
・車の基礎知識
・顧客と仕様調整ができる調整力
・開発可能な粒度で要求仕様書を作成できること
・インプット要求を読解し要件化できること
・図を用いた説明／必要な作図スキル（シーケンス図、ブロック図等）
・セルフレビュー力
・報連相＋提案力＋進捗自己管理力／コミュニケーションに問題がないこと
・スピード感／責任感を持って業務遂行できること
・CAN通信の開発経験・知見
・UDS／リプロ／OTAの開発経験・知見
・Ether通信、ネットワーク通信仕様等の開発経験・知見"
T260123-1692,AWS、Linux構築、運用要員,インフラエンジニア,"AWS, Linux, UNIX, WindowsServer",〜60万円 (スキル見合い),勝どき / リモート可（週1〜）,オープン系システム基盤（AWS、仮想化基盤、UNIX、Linux、Windows等）の運用保守、サービスサポート、運用設計書・手順書・作業フロー等のドキュメント作成。トラブル対応の際は直接連絡を行う場合あり。勤務時間：9時～18時。,オープン系システム基盤（AWS、仮想化基盤、UNIX、Linux、Windows等）,オープン系システム基盤（AWS、仮想化基盤、UNIX、Linux、Windows等）の運用保守経験4年以上。サービスサポート（メール、電話対応など）の経験。運用設計書、手順書、作業フロー等の基本的なドキュメント作成スキル。短期(1年以下)の案件経験が少ない方。外国籍不可。年齢30-45歳以下。
T260123-1693,OS／MWバージョンアップ対応,インフラエンジニア,Linux,65万円～70万円（スキル見合い）,戸塚 / 常駐（Plus10）,EOLを迎えたOS／MWの影響調査～バージョンアップ計画・移行・テストを担当。対象台数：約600台（うち10～20台をメジャーバージョンアップ想定）・製品バージョン（OS含む）のEOL調査・2026年3月末までのバージョンアップ作業完了に向けた計画／実行・現運用チームへ実作業依頼の対象選定・2026年4月以降は以下作業で継続の可能性あり：①インフラ基盤の移行検討・計画②バージョンアップ作業③お客様／アプリチームへの報告・調整,,【必須スキル】・Linux、VM、MWのバージョンアップ経験・幅広いインフラ知識【尚可スキル】・お客様／アプリチームとの報告・調整経験【条件】・開始月：即日～・場所：戸塚または国際展示場（戸塚の可能性大）・単価：65～70万円（スキル見合い）・面談回数：1回・商流：貴社まで・外国籍：不可・年齢：50代まで
T260123-1696,WMS（倉庫管理システム）／新規or改修、TMS（輸配送システム）／新規,プログラマー(PG),"Java, Vue.js, Kotlin, SpringBoot, MyBatis, Android",～MAX70万,中央区新富町 / リモート可（週1〜）,基本設計をもとに、詳細設計、開発、製造、単体試験までをご担当して頂きます。上位プロパーがシナリオ試験を実施し、問題あれば対応して頂きます。アジャイル開発なので「まずは動くもの重視で設計より製造を先行する感じです」。そのため製造前、製造中にレビューを頻繁に実施しています（そこで軌道修正します）。特に製造前では、基本設計をもとにモックを作成してレビューするような作業もあります。,事務所系画面：JAVA/Vue.js、現場系画面：Kotlin（キーエンス端末or Android端末）、ＡＰＩ：SpringbootMyBatis/Tomcat/Amazon Corretto11、ＤＢ：postgreSQL、方式：アジャイル,JavaまたはKotlinを5年以上経験したプログラマー。開発がFrontとBackの両方ができ、一人称でできれば尚可。SE経験ありも尚可。長期前提で参画できる方。勤怠良好な方。
T260123-1697,SIer請負のWebシステム開発,システムエンジニア(SE),"C#.NET, JavaScript, HTML5, SQL, AWS",55万円〜65万円,虎ノ門ヒルズ / リモート可（週1〜）,SIer請負のWebシステム開発,"フロント：JavaScript,HTML
バック：.netFW
DB：SQLServer
サーバー：AWS","・C#.net開発経験4年以上
・技術的な質問にもしっかりと受け答え出来る方
・コミュニケーション能力(年齢関係なく柔軟に能動的に動ける方)
・20後半~40代"
T260120-1854,維持保守（アプリケーション改修／新規開発）,システムエンジニア(SE),"Java, Spring, React, TypeScript, JavaScript, AWS",55万-60万程度(スキル見合い),晴海トリトン / リモート可（週1〜）,要件定義～リリースまでの全工程対応,Java（Spring Framework）、React／TypeScript／JavaScript、AWS（尚可）,必須スキル: Java（Spring Framework）、React または TypeScript／JavaScript（React未経験の場合、関連ライブラリ経験）。尚可スキル: AWS。期間: 2025年2月～。精算: 160h±20h。勤務時間: 9:00～18:00。募集人数: 1名。面談回数: 2回。商流: 上位会社へ在籍出向できる方。国籍: 外国籍不可。年齢: 40代まで。備考: 技術面でリードできる方、設計書作成がなくコミュニケーション力重視、長期参画可能な方。
T260123-1706,生成AI プロジェクトにおける基盤開発,AIエンジニア,AWS,80万円,京王多摩センター / リモート可（週1〜）,生成AI プロジェクトにおける設計・開発をお願いします。フェーズは要件定義、外部設計、内部設計、開発、テストとなります。主にAWSサービスを用いた要件定義、設計書作成、開発業務に従事していただきます。,AWSサービス,"必須スキル：AWSサービス（EC2,SES,ACMなど）を用いたサービス開発経験、要件定義、外部設計書や内部設計書などドキュメント作成の経験。歓迎スキル：AIアプリケーション開発経験。年齢：50代前半まで。"
T260123-1709,海外物流デジタルフォワーディングシステムの開発・保守,システムエンジニア(SE),"PHP, Laravel, Oracle",75万円目安,汐留 / リモート可（週1〜）,"・既存システムのカスタマイズ対応
・要件定義、設計
・受入試験
・中国オフショアチームの管理　※日本で設計 → 中国で製造 → 日本で受入試験
・長期での保守・追加開発対応","言語：PHP
FW：Laravel
Web：nginx
DB： Oracle
ソース管理：Git
開発環境：Docker","必須スキル：
・PHP（Laravel）の経験5年以上
・要件定義／設計の経験 3年以上
・Web系サービスの開発経験
・勤怠・コミュニケーション良好な方（チーム内外との連携）

尚可スキル：
・オフショア開発経験"
T260123-1713,顧客管理システムの開発・改修,システムエンジニア(SE),C#,スキル見合い,心斎橋 / 常駐（Plus10）,顧客管理システムの開発・改修（基本設計～テスト）。期間は即日or1月～3月（延長の可能性有り）。募集人数は1名。面談は1回（弊社同席）。精算は140-180h。商流は貴社社員・契約社員・個人事業主。,,"C#, Blazor。尚良: .NetCore。"
T260123-1715,保険関連システムの開発,システムエンジニア(SE),"C#, SQL",スキル見合い,新大阪 / リモート可（週1〜）,保険関連システムの開発。工程は基本設計～テスト。期間は2026年1月or2月～長期予定。複数名の募集。面談は1回（弊社同席）。精算は140-180h。商流は貴社社員・契約社員・個人事業主。,,C#（5年以上）、SQLのスキル。保険・レセコンの知識尚良。SEのみの募集。
T260123-1711,公益財団法人向けAWSデータ分析基盤構築,クラウドエンジニア,"AWS, Terraform",100万円,虎ノ門 / リモート可（週1〜）,"設計構築メンバーとしてAWSクラウドの設計・構築を担当。
・AWSデータ分析基盤（BI／DWH）の設計・構築
・AWS ProServeとの合同プロジェクト参画
・BI、DWH、ETLに関する詳細設計、構築、単体テスト
・詳細設計書、CDKコード、単体テスト仕様書等のレビュー対応
・担当フェーズ：詳細設計、実装・構築、単体テスト","AWS Professional Servicesのデータ分析スペシャリストと協働できる環境
社内でClaude Code、Codex、ChatGPTの利用可
元AWS Ambassador／Top EngineerがPM兼テックリードとして参画","【必須スキル】
・AWS CDKの実務経験
・AWSサービスを用いた設計・実装経験
・IaC（Infrastructure as Code）の実装経験（CDK、Terraform 等）
・他メンバー成果物（設計書、コード、テスト仕様書）のレビュー経験
【尚可スキル】
・データ分析基盤（BI／DWH）やETL処理の設計・実装経験"
T260123-1712,不動産会社向けシステム開発支援（PM兼PL）（Javaエンジニア）,システムエンジニア(SE),"Java, SQL, HTML5, CSS3, Sass, AWS",60万円〜90万円（スキル見合い）,飯田橋 / リモート可（週1〜）,＜案件概要＞ [1] 不動産会社向けシステムの開発支援プロジェクトにて、PMおよびPLとしてご参画いただきます。エンジニアの工数管理や実装方法の検討、テスト計画策定、ステークホルダーとの折衝など、プロジェクトの要（かなめ）として、管理と現場推進の両方を担っていただく重要なポジションです。[2] 不動産業向け会員サイトおよび関連システムの設計・開発・テスト業務を担当いただきます。既存システムの改修や新機能追加がメインとなり、Javaを中心としたWebアプリケーション開発において、チーム内での設計検討や実装のリードを行っていただくポジションです。,"Java, MySQL, Docker, AWS","【PM/PL向け】基本設計～テストの実務経験（5年以上）、Javaを用いたシステム開発経験（5年以上）、MySQLおよびGitHubの利用経験、開発リーダー経験（2～3年以上）、プロジェクトマネジメント経験（3年以上）
【Javaエンジニア向け】基本設計～テストの実務経験（3年以上）、Javaを用いたシステム開発経験（3年以上）、MySQLおよびGitHubの利用経験、HTML、CSS（SCSS）の経験"
T260123-1713,損保会社・基幹システム刷新プロジェクト,プロジェクトマネージャー,,80万円〜85万円,勝どき / リモート可（週1〜）,国内大手損保会社の基幹システム（メインフレーム）をオープン系（クラウド）へ刷新する大規模PJです。 事業会社側のプロジェクトリーダー（PL）として、開発ベンダーの管理や社内調整をリードいただきます。 現在はシステムテストおよび移行工程のフェーズですが、並行して次フェーズの要件定義も始まっており、長期的な視点でプロジェクトの中核を担っていただくポジションです。,,<必須> ・アプリ開発の上流 ～ 下流工程の一貫した経験（30人月規模以上） ・サブリーダーまたはプロジェクトリーダー経験（3年以上） ・開発プロジェクトにおける工程品質管理の経験 ・ベンダーコントロールおよび折衝・交渉の経験 ・ITILに準ずる運用設計に関する知見 <尚可> ・事業会社（ユーザー企業）側でのプロジェクト推進経験 ・システムロードマップの策定経験 ・損害保険業界の業務知識 ・メインフレームやAS400に関する知見
T260123-1722,証券会社営業事務案件,,,35万～40万前後,六本木一丁目 / 常駐（Plus10）,工程: 事務作業。期間: 1月～長期。人数: 1名。外国籍: 不可。精算: 140～180H。面談: 2回。年齢: 30代まで。商流制限: 貴社所属まで。備考: 未経験の方は不可。弊社経由で別PJに1名参画中。,,必須: 営業や物販業での事務経験2年以上。尚可: IT機器の知見がある方。
T260123-1720,保険系システムの更改,システムエンジニア(SE),"Java,Spring,COBOL",～60万円 ※スキル見合い,市場前 / リモート可（週1〜）,現行COBOLで動いているシステムをJavaへリプレイス。工程は詳細設計以降。,,【必須スキル】Java/SpringFWでの経験が3年以上、詳細設計以降が一人称でできる事。【尚可】基本設計が一人称でできる、COBOLの経験（ソースコード等が読める）。
T260123-1724,外食産業向けインフラ運用設計・運用支援,インフラエンジニア,"WindowsServer,Linux",～75万円程度（スキル見合い）,田町駅 / 常駐（Plus10）,"外食産業向けシステムにおけるインフラ運用設計および運用業務を担当いただきます。既存のインフラ運用チーム（4名体制）に参画し、交代要員として業務を行っていただきます。
・インフラ運用設計（監視／運用業務プロセスの設計）
・運用設計書、要件定義書、手順書（業務フロー）作成
・管理表作成（構成情報リスト 等）
・顧客向け報告書作成（運用実績、運用分析）
・インフラ運用作業全般",,"必須スキル：
・インフラ運用設計の実務経験（3年以上）
尚可スキル：
・Windows / Linux / ネットワークに関する運用経験（3年以上）
・情報処理技術者（ITサービスマネージャ）資格
・ITIL関連資格保有
条件
・入場日：即日～長期
・募集人数：1名
・清算幅：140h~180h
・面談2回（1回目Web＋2回目対面）
・商流：貴社まで
・外国籍：不可
・年齢：50代まで"
T260123-1725,通信キャリアシステムの仮想化関連業務,インフラエンジニア,"OpenStack,Linux",〜75万円,YRP野比駅 / 常駐（Plus10）,"OpenStackベースの仮想化基盤の一部である、VNFMの更改が行われるためVM生成や削除といった仮想化機能の検証、更改後のVNFMを利用したVM生成や削除といった仮想化基盤の操作及びVNFM担当と仮想化サーバのAPLベンダ間の調整、試験管理が主な業務。
※仮想化基盤の操作は行うが、正常性確認などはベンダが実施する

①設計書レビュー
　VNFM/APLベンダが作成した設計書のレビュー対応
②環境構築
　VNFM担当指定の仮想化サーバ設計情報の提示
　検証用仮想化サーバの生成
③試験操作及びベンダ管理
　VM生成や削除等の仮想化基盤操作やAPLベンダ試験管理及び、各種調整
④ドキュメント修正
　VNFM更改によるVM生成操作手順等のドキュメント修正",,"仮想化環境の実務内での構築経験
OpenStack利用経験者
Linuxの実務経験または基本的なLinuxコマンドの知見がある方
TCP/IPの使用経験または知見がある方
Oficce製品をビジネスレベルで利用できる方
コミュニケーション力がある方

尚　可：TeraTerm、Wiresharkの使用経験または知見がある方"
T260123-1729,eTAXのシステム刷新(JAVAの品質向上),システムエンジニア(SE),"Java, COBOL, AWS",90万円位※スキル見合い,新宿 / リモート可（週1〜）,東京都主税局のeTAXシステム刷新案件。画面も含めすべてCOBOLで作られていたものを、JAVAとCOBOLに分割する。（JAVAからOLTPを介してCOBOLを呼び出して処理を行う）現状、一部機能は日立製作所製のe-CANDOを利用している。現在システムテスト中だが、JAVAの品質向上を平行で行う。,"JAVA, COBOL, OLTP, e-CANDO, AWS","【必須スキル】
・JAVAを用いたフロントエンド/バックエンド開発
・JAVAの品質向上経験（AP基盤として性能・処理方式に対するアーキテクチャ設計・検討経験）
・問題の自己解決力があること
・コミュニケーションが良好であること
【尚可スキル】
・処理性能やメモリ管理などを意識したJAVAプログラミングの経験
・AWS上で動作するアプリケーションの開発経験"
T260120-1876,DXを牽引するフロントエンド開発（不動産業界）,フロントエンドエンジニア,"React, Next.js, TypeScript, PHP, Laravel, MySQL, AWS, Figma, Adobe XD",70万～75万,フルリモート,不動産管理会社様向け「入居申込・電子契約システム」の開発など,"フロントエンド：React, Next.js, TypeScript, Jotai, Storybook, Tailwind CSS
バックエンド：PHP 8.x, Laravel 10
DB：Aurora, MySQL
インフラ：AWS(ECS, Amplify, Lambda, S3, RDS)
開発支援ツール：Github, Backlog, GitHub Actions, Chatwork","必須：
・TypeScriptの開発経験（3年以上）
・React/Next.jsを用いた開発実務経験（2年以上）
・Function Component や Custom Hook の開発経験
・コードベースのテスト(Vitest or Jest)の経験
・DB（MySQL/PostgreSQL等）での開発経験
・Gitを用いたチーム開発経験
・コードレビューの経験

歓迎：
・FigmaやXDを使用した経験
・CI/CD環境の構築
・Dockerを用いた開発経験
・静的型付け言語での開発経験
・Claude Code等の生成AIを活用した開発経験"
T260123-1733,クラウド環境の設計・構築,クラウドエンジニア,"AWS, Google Cloud Platform(GCP), SQL, Terraform",60万円(スキル見合い),フルリモート,"Azureを中心としたクラウド環境の設計・構築・運用をお任せします。
既存システムのクラウド移行やインフラ最適化、セキュリティ強化など、上流から幅広く携われる環境です。

・Azure／AWSなどのクラウドインフラ設計・構築・運用
・ネットワーク・セキュリティ設定、モニタリング設計
・IaC（Terraform, Ansible等）による構成管理
・開発チームとの連携によるアーキテクチャ提案・最適化
・障害対応・性能チューニング・コスト最適化","Azureを中心としたクラウド環境、Azure／AWSなどのクラウドインフラ、IaC（Terraform, Ansible等）による構成管理、DevOps環境","■必須スキル
・直近PJTでのAzure、またはGCPなどのパブリッククラウド環境での設計・運用・保守経験（1年以上）
・SQL・ネットワーク・セキュリティの知識

■尚可スキル
・Azureでのクラウド構築・運用経験（目安2年以上）
・Azure環境の設計・導入経験
・IaC（Terraform、Ansible）経験
・DevOps環境構築・運用経験
・セキュリティ・監視設計経験"
T260123-1737,新卒エンジニア向け研修講師,エンジニア,Java,80万～150万円(スキル見合い),東京都内 / 常駐（Plus10）,"新卒向けJava研修にて、受講生の成長を支援しながら講義・フォローを行う講師業務です。
期間2026年4月～2026年6月
技術指導だけでなく、""エンジニアとして働くことの楽しさ"" を伝えたり、プロジェクト推進に必要な視点（PM的な観点）を教えたりと、若手のキャリア形成に大きな影響を与えるポジションです。

・Java基礎〜応用の講義対応
・受講生への質疑応答、理解度チェック
・用意された教材・カリキュラムに沿った講義進行
・受講生の主体性を引き出す指導、教室マネジメント
・ITエンジニアとしてのキャリア観・働く楽しさの共有
・プロジェクト推進に必要な視点や段取り、PM的思考の指導
・クラス単位（30名目安）の進行サポート
・他講師との連携・フォロー体制あり

※宿泊費(上限9千円/日)/新幹線代/飛行機代　別途支給",,"■必須スキル
・Javaを用いた実務経験
・Web/業務システム開発など、比較的幅広い開発経験

■尚可スキル
・受講生の成長支援に喜びを感じられる方
・コミュニケーションを取りながら教室の雰囲気づくりができる方
・自身の専門知識を研修に反映できる方
・エンジニアとして働く楽しさやキャリア観を言語化できる方
・PM/PL経験、またはプロジェクト推進の実務経験"
T260123-1739,通信事業者向けサービスの設計・開発,バックエンドエンジニア,"Python, Linux",65万円程度,市ヶ谷 / リモート可（週1〜）,"取引顧客であるインターネットサービス事業者様が提供しているインターネットサービスの開発チームにおける増員案件です。設計・開発から保守まで、長期参画前提でご対応いただきます。
・インターネットサービス提供システムの改修改良
・他システム連携に関する調査・確認対応
・データリカバリ等の保守対応
・他システム連携用APIの設計・開発・リリース
・バッチ処理の設計・開発・リリース","Python, Linux","■必須（MUST）
・Pythonでの開発経験（3年以上）
・Linux環境での開発経験
【備考】
・外国籍可
・個人事業主可
・30代希望（応相談）
・参画時に所属開示あり
・2026年3月／5月／7月にも増員予定"
T260123-1740,金融系PJにおけるPMO要員募集,PMO,,60万円〜70万円 前後 スキル見合い,神谷町 / リモート可（週1〜）,PJ管理、メンバー管理、新人研修、各種調整,,PMOの経験4年以上、Web系言語での開発経験1年、1名、外国籍不可、30代まで
T260123-1742,Javaバージョンアップ対応,システムエンジニア(SE),Java,スキル見合い,豊洲 / 常駐（Plus10）,既存システムのJavaについて、Java8→Java21へのバージョンアップを行う。これに伴う影響調査やバージョンアップに向けて、ロードマップ策定などを実施する。,,"バージョン問わずJavaのバージョンアップに伴う影響調査の経験あり
Javaでの設計開発経験
業務を推進したことがあること"
T260123-1745,Java開発案件,システムエンジニア(SE),"Java, JUnit, SpringBoot, Vue.js",スキル見合い（〜55万前後）,都内23区 / リモート可（週1〜）,通信業向けシステム開発における詳細設計、製造、単体テスト、結合テスト ※顧客との調整や確認等,,必須スキル：Javaでの製造/テスト経験2～3年以上、Web開発経験、Junitの経験 or 知見がある方。尚可スキル：Spring Boot、新規開発の経験の有無、API開発（設計、製造）、詳細設計経験、vue.js での開発経験。
T260123-1764,仮想化基盤開発,インフラエンジニア,"Linux, Shell",スキル見合い（Max65万）,武蔵小杉 / リモート可（週1〜）,仮想化基盤開発プロジェクトにおいて、システム構築および検証業務をご担当いただきます。作業工程は検討・調査、設計、試験が中心となります。,,必須: Linuxサーバ操作、シェルスクリプト、Linuxサーバー開発、検証経験。尚可: 仮想化技術（KVM）の経験・知識、Ansibleの経験・知識、Ansibleを用いたサーバ構築経験、通信系ネットワークシステム業務経験。外国籍不可。50代まで希望。
T260123-1765,入札案件事務局,,,"時給2,400円前後",新宿アイランドタワー / 常駐（Plus10）,入札案件を取り扱う部署の事務局員。主に案件運営、会議運営、資料作成、議事録作成。,,年齢25才～40代まで。英語の読み書きができること（議事録、マニュアル作成あり）、25才以上且つ2年以上の社会経験のある方（新卒不可）、Excel・PowerPointがある程度扱える方、社外とメールで調整等を行った経験、月に2-3日の全国出張が月に1-2回あり（出張が無い月もあり）、外国籍不可、飲食・コンビニ経営のみの経歴不可。
